Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,United States,USA,23207.2199359187,23670.3457327086,24649.8447359645,25794.1281658637,25421.3696704294,25120.2308496895,26223.3764450662,27161.4266860093,28362.7717986387,28939.639937793,28589.6727279129,29028.9014952106,28235.0896669314,29260.5861838728,31107.5596247217,32118.7594265396,32925.2266772997,33761.1788389073,34853.4884703005,35793.896504321,36059.3016312599,35542.1411050632,36287.3228622999,36797.7976477287,37813.7581782112,38369.1618432616,39356.0917997431,40614.4056085118,41942.7095093781,43434.6926748853,44726.9653975986,44728.5974754689,45087.367278707,45980.5145848942,47287.5937719542,48499.81237636,49405.7672960906,49856.2814911139,49319.4788649637,47648.8132505282,48466.8233750801,48862.4249439572,49596.42191733,50161.0758208104,51015.1354768362,52099.2697604038,52534.3652839378,53356.2362359038,54541.7205176356,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,-0.254079592763361,3.29336237989513,5.2588953573494,5.64571947000461,-0.540546528852801,-0.205464013975075,5.38813922864261,4.62415920523873,5.53530269342748,3.16615027139846,-0.256751930206136,2.53771869588535,-1.80287445303816,4.58392731645819,7.2366199947577,4.16965595327123,3.46265171340774,3.45957255522859,4.17704638422782,3.67265632875832,1.88596032242019,-0.108259105278819,3.5224424944773,2.75284432715792,4.02883906403844,2.68428713129616,3.77250131913141,4.44721634281531,4.48140755494944,4.75323598915602,4.12748401255413,0.998340795722612,1.7416952495761,2.86121076695474,3.79889112654006,3.51321379694016,2.85497229206358,1.87617145780585,-0.136579805372577,-2.53675706551407,2.56376655847168,1.55083550620974,2.24954585216848,1.8420810704697,2.4519730360895,2.88091046576689,1.56721516988685,2.21701033035224,2.8569878160516,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United States,USA,-1.40937952140189,1.99561084037087,4.13808490301166,4.64215268759745,-1.44512926755014,-1.18458928312624,4.39146280930871,3.57715278544775,4.42298236582779,2.03389197378074,-1.20930049797576,1.53631967556218,-2.73455689809748,3.63199312996154,6.31215461386363,3.25065615566393,2.51089165696018,2.53894124951897,3.23540133656243,2.69817477473404,0.741481517405958,-1.43419451514943,2.09661470600186,1.4067579120287,2.76092754302428,1.46878726635107,2.57219576625936,3.19725295685198,3.27052404427648,3.55719309257685,2.97520862501813,0.00364897966078104,0.802103851870044,1.98092583376213,2.84268064170266,2.56350240668131,1.86795551434393,0.91186559723549,-1.07670008692052,-3.38743566007619,1.71674815960455,0.816231684539332,1.50217058243558,1.13849725776922,1.7026342478712,2.12512281587478,0.835127873259836,1.56444443084816,2.22182890954011,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36812.545744692,36284.5822327347,37045.3301198376,37566.4682323355,38603.6512007035,39170.6567138861,40178.2026874966,41462.8014609326,42818.852352143,44342.0016103341,45661.2686667505,45662.934837157,46029.1989963627,46941.0032903554,48275.3861039114,49512.9267885198,50437.8062347791,50897.7312378343,50349.715321356,48644.1511098135,49479.2486787465,49883.1139837344,50632.4434476009,51208.8924277934,52080.7925682245,53187.5733737803,53631.7576241352,54470.796669452,55681.0445771107,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
