,artist_name,release_date,track_name,track_id,popularity
0,XXXTENTACION,2017-08-25,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,87
1,Granular,2017-10-13,White Noise - 500 hz,65rkHetZXO6DQmBh3C2YtW,84
2,XXXTENTACION,2017-08-25,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,85
3,Lil Uzi Vert,2017-08-25,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,85
4,Offset,2017-10-30,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,83
5,Frank Ocean,2017-03-10,Chanel,6Nle9hKrkL1wQpwNfEkxjh,82
6,Khalid,2017-04-27,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,84
7,Kendrick Lamar,2017-04-14,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,85
8,Billie Eilish,2017-12-22,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,85
9,Granular,2017-10-13,White Noise - 145 hz,6H4B9gJD6eQlNoEh8q85pP,82
10,Khalid,2017-04-27,Location,152lZdxL1OR0ZMW6KquMif,83
11,Kendrick Lamar,2017-04-14,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,82
12,Luke Combs,2017-06-02,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,79
13,Rex Orange County,2017-01-25,Best Friend,47Bg6IrMed1GPbxRgwH2aC,82
14,Imagine Dragons,2017-06-23,Believer,0pqnGHJpmpxLKifKRmU6WP,89
15,XXXTENTACION,2017-08-25,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,83
16,NF,2017-10-06,Let You Down,52okn5MNA47tk87PeZJLEL,84
17,Lee Brice,2017-11-03,Rumor,56eGOeSsqdg3FLxdo83TwV,78
18,Kane Brown,2017-10-06,Heaven,1HXy5I3HTWq8OvxCn0z7G7,79
19,Luke Combs,2017-06-02,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,79
20,Lil Uzi Vert,2017-11-17,20 Min,0uxSUdBrJy9Un0EYoBowng,79
21,Imagine Dragons,2017-06-23,Thunder,1zB4vmk8tFRmM9UULNzbLB,87
22,Lil Uzi Vert,2017-08-25,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,79
23,Ed Sheeran,2017-03-03,Perfect,0tgVpDi06FyKpA1z0VMD4v,88
24,Sam Hunt,2017-02-01,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,79
25,A Boogie Wit da Hoodie,2017-09-29,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,79
26,Bebe Rexha,2017-08-11,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,82
27,"Tyler, The Creator",2017-07-21,See You Again,7KA4W4McWYRpgf0fWsJZWB,80
28,Russell Dickerson,2017-10-13,Every Little Thing,4EpLU30bi1KNWkBTfgZkoK,78
29,Rex Orange County,2017-10-11,Loving Is Easy,5EYi2rH4LYs6M21ZLOyQTx,81
30,Rex Orange County,2017-03-22,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ,81
31,Lil Skies,2017-12-12,Lust,7oJrVhiTPZGBXWPwhxjy9S,80
32,Logic,2017-05-05,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,82
33,Lauv,2017-05-19,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,85
34,Billie Eilish,2017-12-22,ocean eyes,7hDVYcQq6MxkdJGweuCtl9,84
35,Erik Eriksson,2017-01-08,Clean White Noise - Loopable with no fade,2bRKxuH1o7pTmb1y4GfdEc,84
36,Sam Smith,2017-11-03,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,79
37,Kendrick Lamar,2017-04-14,DNA.,6HZILIRieu8S0iqY8kIKhj,81
38,21 Savage,2017-09-23,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,81
39,blackbear,2017-04-21,do re mi,3Q3myFA7q4Op95DOpHplaY,80
40,Chase Rice,2017-11-17,Eyes On You,5AnSllIrgGsCZzZJkVnApx,77
41,Russ,2017-05-05,Losin Control,4cxMGhkinTocPSVVKWIw0d,79
42,Jack Stauber,2017-03-25,Buttercup,2mlGPkAx4kwF8Df0GlScsC,83
43,Khalid,2017-04-27,8TEEN,5bgwqaRSS3M8WHWruHgSL5,80
44,NF,2017-10-06,Lie,07FkzikE6FuHIa8Ma7zJGc,80
45,Hailee Steinfeld,2017-09-08,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,82
46,Luke Combs,2017-06-02,One Number Away,4gB7HrYHbJVJ5RFOjxmoq4,77
47,Miguel,2017-12-01,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,78
48,Demi Lovato,2017-09-29,Sorry Not Sorry,7gvd8xj4QgPqbQSsn5pV7d,82
49,French Montana,2017-07-14,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,83
50,SZA,2017-06-09,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,78
51,NF,2017-10-06,If You Want Love,3i5qVV8azKqGFK4Gzdt5YS,80
52,Loud Luxury,2017-10-27,Body,21RzyxY3EFaxVy6K4RqaU9,80
53,GoldLink,2017-03-24,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg,78
54,Peachy!,2017-08-14,Falling for U,0sHFw13WH3LtSB3yP8UMYJ,79
55,YNW Melly,2017-10-16,772 Love,230wNo1dnexltKYQbsW7oD,76
56,Aminé,2017-07-28,Caroline,5hTpBe8h35rJ67eAWHQsJx,78
57,Daniel Caesar,2017-08-25,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,79
58,Khalid,2017-04-27,Coaster,39KG4kom3enSx4GTThuDGt,78
59,Marshmello,2017-08-11,Silence,7vGuf3Y35N4wmASOKLUVVU,83
60,Kodak Black,2017-08-18,Roll In Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,78
61,Halsey,2017-06-02,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,78
62,Drake,2017-03-18,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,81
63,Ed Sheeran,2017-03-03,Shape of You,7qiZfU4dY1lWllzX7mPBI3,87
64,Lil Skies,2017-12-12,Red Roses (feat. Landon Cube),3ZhTT6yjZwpPph5MIJ53XY,77
65,Selena Gomez,2017-10-25,Wolves,0tBbt8CrmxbjRP0pueQkyU,84
