,artist_name,release_date,track_name,track_id,popularity
0,Tame Impala,2015-07-17,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,86
1,Bryson Tiller,2015-10-02,Don't,3pXF1nA74528Edde4of9CC,81
2,Bryson Tiller,2015-10-02,Exchange,43PuMrRfbyyuz4QpZ3oAwN,80
3,Chris Stapleton,2015-05-04,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,78
4,White Noise Meditation,2015-05-26,Brown Noise - Loopable with No Fade,67iF3DdebmElASIGoebYt1,77
5,Lord Huron,2015-04-07,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,76
6,blackbear,2015-02-14,Idfc,6y6jbcPG4Yn3Du4moXaenr,81
7,Thomas Rhett,2015-01-01,Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,76
8,WILLOW,2015-01-11,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,79
9,The Weeknd,2015-08-28,The Hills,7fBv7CLKzipRk6EC6TWHOB,82
10,Mac Miller,2015-09-18,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,77
11,Rae Sremmurd,2015-01-06,Come Get Her,1Ser4X0TKttOvo8bgdytTP,78
12,Twenty One Pilots,2015-05-15,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,84
13,Twenty One Pilots,2015-05-15,Ride,2Z8WuEywRWYTKe1NybPQEW,83
14,Travis Scott,2015-09-04,Antidote,1wHZx0LgzFHyeIZkUydNXq,79
15,Jeremih,2015-12-04,oui,0PJIbOdMs3bd5AT8liULMQ,76
16,Fall Out Boy,2015-01-20,Centuries,04aAxqtGp5pv12UXAg4pkq,81
17,Alessia Cara,2015-11-13,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,74
18,X Ambassadors,2015-06-30,Unsteady,7lGKEWMXVWWTt3X71Bv44I,78
19,BØRNS,2015-10-16,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,76
20,Mark Ronson,2015-01-12,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,82
21,Mike Stud,2015-10-30,These Days,5tsI3xxDHDgzHhn30LTQNz,75
22,$uicideBoy$,2015-09-21,Kill Yourself (Part III),5XAPpyIoYF3QXP34Hv8Pvx,78
23,Justin Bieber,2015-11-13,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,83
24,Rihanna,2015-01-24,FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y,80
