,artist_name,release_date,track_name,track_id,popularity
64,Tyga,2018-05-16,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,84
65,Lil Baby,2018-11-30,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,79
66,Dean Lewis,2018-06-29,Be Alright,3EPXxR3ImUwfayaurPi3cm,85
67,Bad Bunny,2018-10-11,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,85
68,Drake,2018-06-29,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,82
69,Drake,2018-06-29,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,84
70,Calboy,2018-12-13,Envy Me,05t7JMip6JrLuSrMV5yYjX,79
71,Travis Scott,2018-08-03,STARGAZING,7wBJfHzpfI3032CSD7CE2m,83
72,Trippie Redd,2018-11-09,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,78
73,BlocBoy JB,2018-02-09,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,81
74,Aminé,2018-08-15,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,80
75,Mac Miller,2018-08-03,Self Care,5bJ1DrEM4hNCafcDd1oxHx,80
76,Pink Sweat$,2018-07-12,Honesty,2B1JaRSd7T7YP90n6sCh9I,76
77,Juice WRLD,2018-12-14,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,79
78,Shordie Shordie,2018-12-08,Bitchuary,4dV3okcjbQwTcg4ObIGr4N,77
79,Ellie Goulding,2018-10-24,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,85
80,SHAED,2018-09-21,Trampoline,0lsRatBUs9HNIZAmoGABzk,79
81,Metro Boomin,2018-11-06,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,79
82,The Weeknd,2018-03-30,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,83
83,Kodak Black,2018-12-14,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,78
84,Ella Mai,2018-10-12,Trip,6CTWathupIiDs7U4InHnDA,80
85,Post Malone,2018-04-27,Stay,4H7WNRErSbONkM06blBoGc,80
86,Lauren Daigle,2018-09-07,You Say,6Up545NUflOiXo8cEraH49,83
87,Roddy Ricch,2018-11-02,Down Below,4SWWe2OYC4mqf40Gc2RSdl,78
88,Travis Scott,2018-08-03,CAN'T SAY,27a1mYSG5tYg7dmEjWBcmL,81
89,"Earth, Wind & Fire",2018-04-17,September,7Cuk8jsPPoNYQWXK9XRFvG,82
90,Shoreline Mafia,2018-07-13,"Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)",1n8wr8tRHs5jmBxNWXedcn,77
91,Kaash Paige,2018-11-19,Love Songs,6ABrDJwa6iVFuT1O1F9ZUm,80
92,Camila Cabello,2018-01-12,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,86
93,Lil Mosey,2018-10-19,Kamikaze,3to5UxKsozb4T6CfwHuhLJ,79
94,Russ,2018-09-07,Missin You Crazy,4ve2uzqdwnHr20G5YgMMqr,81
95,Eminem,2018-08-31,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,82
96,Bazzi,2018-08-02,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,83
97,Juice WRLD,2018-12-10,Black & White,1fCeXjoRExPP2qwSBh2aST,78
98,XXXTENTACION,2018-03-16,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7,81
99,Joji,2018-10-26,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,81
100,Morgan Wallen,2018-04-27,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,76
101,Khalid,2018-02-14,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,81
102,Blueface,2018-12-18,Thotiana,3oh6SCCeLuXhFpEyepla6G,80
103,Juice WRLD,2018-12-10,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,78
104,6LACK,2018-09-14,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,79
105,Travis Scott,2018-08-03,WAKE UP,20MuVazoNMv6xjKPnRFOxG,80
106,tobi lou,2018-04-27,Buff Baby,1F1QmI8TMHir9SUFrooq5F,78
107,Ariana Grande,2018-08-17,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,84
108,Khalid,2018-04-20,OTW,6Hgh47WXVKtXN5zGOu0hjI,80
109,Calum Scott,2018-03-09,You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,85
110,6ix9ine,2018-11-27,FEFE,2l8nEO0vsTRCRnGqQty6qx,81
111,A$AP Rocky,2018-05-25,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,83
112,Khalid,2018-10-18,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,80
113,King Princess,2018-02-23,1950,0CZ8lquoTX2Dkg7Ak2inwA,81
114,Imagine Dragons,2018-11-09,Natural,2FY7b99s15jUprqC0M5NCT,85
115,Ski Mask The Slump God,2018-11-30,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9,77
116,Calum Scott,2018-03-09,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,84
117,YoungBoy Never Broke Again,2018-06-29,Outside Today,3sA7HKGzcKTVscdiTCrWpX,75
118,Wiz Khalifa,2018-07-13,Hopeless Romantic (feat. Swae Lee),7IBSffWIu7P2MC7kMwy2FM,78
119,Alessia Cara,2018-11-30,Out Of Love,4WzhjxvLP95y7AMDy0Atwb,80
120,YG,2018-08-03,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,77
121,88rising,2018-07-20,Midsummer Madness,6TodWdTSDfzwgYynTZSvJn,80
122,Dan + Shay,2018-06-22,Tequila,42fw0rxRO2xbesF6mJfd4Y,77
123,XXXTENTACION,2018-03-16,Hope,2ZRo7axmMPeSVUvDbGkJah,80
124,Cardi B,2018-04-06,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,78
125,John Mayer,2018-05-10,New Light,3bH4HzoZZFq8UpZmI2AMgV,82
126,Jeremy Zucker,2018-05-04,all the kids are depressed,75ls0gurX68lUmMjE7QcsE,80
127,Roddy Ricch,2018-11-02,Die Young,3wLtYwtqvKK2ewelSVPeDK,78
128,Bebe Rexha,2018-06-22,I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,82
129,Trippie Redd,2018-08-10,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,77
130,Rich The Kid,2018-03-30,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,79
131,Anne-Marie,2018-04-27,2002,2BgEsaKNfHUdlh97KmvFyo,85
132,Dan + Shay,2018-01-10,Tequila,7Il2yWQmsqKgSkLQvHTPUI,77
133,Ruel,2018-04-27,Dazed & Confused,2pyjbGTpJCPjMYwCbdymiF,79
134,Haiti Babii,2018-12-05,Change Ya Life,5JboK5zbbhXIN7iN9NHS8t,77
135,Dan + Shay,2018-05-18,Speechless,7q7jyVU0f0hnod8tsaUmxg,75
136,Selena Gomez,2018-05-10,Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,83
137,Juice WRLD,2018-06-22,Legends,1Knctxx9vGZxpZfF66BIEa,78
138,YBN Cordae,2018-07-13,Kung Fu,1eEYbTvRWPEozV0ttNO0NC,77
139,Nio Garcia,2018-04-13,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,82
140,girl in red,2018-11-21,we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,79
141,Gucci Mane,2018-09-14,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,80
142,RL Grime,2018-07-27,UCLA,3OaunNUlXXs5e2PXtNAzzG,75
143,NAV,2018-05-18,Champion (feat. Travis Scott),6nO3tr47nr2P7f3hXb8JIo,78
144,Eli Young Band,2018-05-25,Love Ain't,6uVzeU47Qzg0rrMneP5BNg,75
145,Lauv,2018-09-27,There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,82
146,Migos,2018-01-26,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,80
147,Ariana Grande,2018-08-17,God is a woman,5OCJzvD7sykQEKHH7qAC3C,82
148,Comethazine,2018-08-24,Walk,21kOVEG3bDCVphKhXL8XmQ,77
149,Oliver Tree,2018-02-16,Alien Boy,1gGhqfs2pDTOI30AEXMXrn,78
150,Lil Yachty,2018-10-19,Yacht Club (feat. Juice WRLD),5R2rsbwCDXORX2tLfprRmM,76
151,Lewis Capaldi,2018-11-08,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,87
152,Roddy Ricch,2018-11-02,Every Season,1ttPzkTSpQUFcEGx8bjerL,76
153,Joji,2018-10-26,CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,78
154,Yung Gravy,2018-05-04,Mr. Clean,5GxnROd93Y7NGt2ci0TwBw,77
155,Social House,2018-06-08,Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,76
156,Famous Dex,2018-04-06,JAPAN,5PTG6rrL6EPFD9E2QMI2pl,77
157,Bazzi,2018-04-12,3:15,6pmZMP2ET1OJi5rKfLO8jD,77
158,YBN Nahmir,2018-09-07,Bounce Out With That,5gQcxYXqnofyocKgEbGYKt,76
159,Kina,2018-08-31,Can We Kiss Forever?,1Av69kr9JitqPWo7WJLS5q,83
160,Dierks Bentley,2018-06-08,Living,54K7AZoGpQklpygKrxZlKN,75
161,Lil Baby,2018-10-05,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,76
162,LANCO,2018-01-19,Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,75
163,Gunna,2018-04-16,Sold Out Dates (feat. Lil Baby),55WLWX71YkHt2tSucNIf1g,76
164,NOTD,2018-11-02,So Close,7FjZU7XFs7P9jHI9Z0yRhK,82
165,Lil Uzi Vert,2018-09-18,New Patek,0Fpen1PTuEnCmOJtUU9Iud,76
166,Billie Eilish,2018-03-30,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,79
167,Megan Thee Stallion,2018-12-21,Big Ole Freak,3YEbLhXRDPTtctnb3ddg8g,74
168,Lil Dicky,2018-03-15,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,79
169,Anuel AA,2018-11-02,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,84
170,Travis Scott,2018-08-03,NO BYSTANDERS,6OaVWaGfhXn70ZJfdVcabn,79
171,Charlie Puth,2018-05-11,Attention,5cF0dROlMOK5uNZtivgu50,84
172,Marshmello,2018-02-09,FRIENDS,08bNPGLD8AhKpnnERrAc6G,85
173,Lil Wayne,2018-09-28,Uproar,3wScL5W8H40zzCKN0atfBk,76
174,Shawn Mendes,2018-05-25,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,83
175,Twenty One Pilots,2018-10-05,Chlorine,23OXdR7YuUBVWh5hSnYJau,81
176,Lennon Stella,2018-11-17,La Di Da,2YyvWje3cEYyqgYhNUIaBJ,78
177,KIDS SEE GHOSTS,2018-06-08,Reborn,4RVbK6cV0VqWdpCDcx3hiT,76
178,Verzache,2018-02-14,Needs,0WKmVAD4VWk5EdTyCFILi4,77
179,Tory Lanez,2018-10-26,FeRRis WhEEL (feat. Trippie Redd),0Z1nbG2KOuRKntstSAkSox,75
180,Zara Larsson,2018-10-18,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,82
181,Alec Benjamin,2018-11-16,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,78
182,Ski Mask The Slump God,2018-11-30,Foot Fungus,3EikYy40GMSp8l5mDV6IQo,76
183,$NOT,2018-09-14,GOSHA,3q8ms2oRMFsyxUYYKDiXIP,76
184,Dan + Shay,2018-05-03,All To Myself,0uSGTaHms9ceAxb7L6VLrU,74
185,J. Cole,2018-04-20,KOD,7yotKA30dwTKNEGomV9ZsI,76
186,Post Malone,2018-04-27,Rich & Sad,2VdT56BGpdqNHUgOe1j5vc,77
187,Dan + Shay,2018-06-22,All To Myself,08tq1XcHwVt5PHXUo87i0D,75
188,benny blanco,2018-12-07,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,80
189,Ariana Grande,2018-08-17,breathin,4OafepJy2teCjYJbvFE60J,81
190,YNW Melly,2018-08-03,Virtual (Blue Balenciagas),4dqkKnzOJ3fWduqKcHi374,74
191,Kendrick Lamar,2018-02-09,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,80
192,A Boogie Wit da Hoodie,2018-12-21,Demons and Angels (feat. Juice WRLD),3L19besdNQzd342qL78xqm,75
193,Shoreline Mafia,2018-05-04,Nun Major,18pwD0HrweX8oCgIkayRb4,74
194,Mitchell Tenpenny,2018-12-14,Drunk Me,1G4cdOtF36ZCs6i2dZoC87,74
195,Logic,2018-03-09,Everyday,4EAV2cKiqKP5UPZmY6dejk,79
196,Migos,2018-01-26,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,76
197,Morgan Wallen,2018-04-27,Up Down (feat. Florida Georgia Line),3EWMoDIm6lzuR0zQKtuCJX,74
198,Rascal Flatts,2018-09-28,Back To Life,7Lr4XaxGpkAwa37IVgg22k,74
199,MadeinTYO,2018-10-26,Chucky Cheese,0fABHG5a7RnqBlOKOwhWZD,75
200,Lil Baby,2018-05-18,Life Goes On,2bSk87AVkCIIC3Bcligq1z,75
201,Kanye West,2018-09-07,I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,81
202,Jason Aldean,2018-01-26,You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,73
203,J. Cole,2018-04-20,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ,75
204,Sam Smith,2018-12-21,"Fire On Fire - From ""Watership Down""",5rFj8OzffT0iggSjcBaeND,83
205,Post Malone,2018-04-27,Paranoid,3fpVWegR6YOS1Yk5HSMYIq,77
206,Eminem,2018-09-19,Killshot,1jo3TwNGCXfNdB5uba3ZVv,78
207,Jimmie Allen,2018-10-12,Best Shot,3VamXAvVMczcS2PTYtPfBQ,74
208,Ali Gatie,2018-08-03,Moonlight,72pv4E0eBIcE9z8V4tPHui,78
209,Post Malone,2018-04-27,Ball For Me (feat. Nicki Minaj),6IaieqiCVvsNvEt6Y7yOFa,77
210,Post Malone,2018-04-27,92 Explorer,1D2L6MefbXon28PzIk9I3r,77
211,Bazzi,2018-04-12,Why,7lozLnUfzcgEpMMVQI7yhA,77
212,Madison Beer,2018-11-09,Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,78
213,City Girls,2018-11-16,Twerk (feat. Cardi B),0RRm4OS5ymfZryXBuj0G2m,75
214,Sam Fischer,2018-01-17,This City,7kF3x1XJXGcgQWFemulw4q,77
215,benny blanco,2018-12-05,Roses (with Juice WRLD feat. Brendon Urie),5YAP8zpqj1eIX88makBjDe,75
216,Rae Sremmurd,2018-05-04,Powerglide (feat. Juicy J) - From SR3MM,1BuZAIO8WZpavWVbbq3Lci,76
217,Migos,2018-01-26,MotorSport,4wFjTWCunQFKtukqrNijEt,77
218,DJ Khaled,2018-07-27,No Brainer,5WvAo7DNuPRmk4APhdPzi8,79
219,Ruel,2018-06-05,Younger,2qXicQG06oT0ijKBznpgQv,78
220,Yung Gravy,2018-05-04,1 Thot 2 Thot Red Thot Blue Thot,7LptQZjp5wgdYDQZPjOV9O,75
221,Morgan Wallen,2018-04-27,The Way I Talk,21LRaD9rB3v7p7DDCZsW4y,73
222,FINNEAS,2018-10-19,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,77
223,French Montana,2018-09-20,No Stylist,04MLEeAMuV9IlHEsD8vF6A,80
224,Doja Cat,2018-03-30,Candy,1VJwtWR6z7SpZRwipI12be,79
225,Louis The Child,2018-10-26,Better Not (with Wafia),7n1940b6kHcaEewFSZXnXa,75
226,Shawn Mendes,2018-05-25,Lost In Japan,79esEXlqqmq0GPz0xQSZTV,81
227,Pedro Capó,2018-10-05,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,87
228,Imagine Dragons,2018-11-09,Bad Liar,2RSHsoi04658QL5xgQVov3,84
229,Jason Aldean,2018-04-13,You Make It Easy,6EGAfJaLUFzhS4zRBIEQ2J,72
230,Calvin Harris,2018-04-06,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,85
231,Bad Bunny,2018-12-23,NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,80
232,Kanye West,2018-06-01,All Mine,3U21A07gAloCc4P7J8rxcn,76
233,Trippie Redd,2018-08-10,Shake It Up,6yz0Jndhv0QjKdpcEMbOjz,74
234,Why Don't We,2018-08-31,8 Letters,4zRZAmBQP8vhNPf9i9opXt,79
235,Fuerza Regida,2018-12-24,Sigo Chambeando,4PR0r2us3a64lTew6TVlF2,77
236,Trevor Daniel,2018-10-05,Falling,4TnjEaWOeW0eKTKIEvJyCa,77
237,KYLE,2018-05-18,Playinwitme (feat. Kehlani),4F1yvJfQ7gJkrcgFJQDjOr,76
238,Takeoff,2018-11-02,Casper,1B4gJRq61xTs6r1O0Uq2iY,75
239,Lil Wayne,2018-12-14,Scared of the Dark (feat. XXXTENTACION),3vWzyGTu6Ovo1GdrcJqH6e,76
240,Post Malone,2018-04-27,Over Now,09IOPhEh1OMe0HD9b36FJk,77
241,Childish Gambino,2018-05-06,This Is America,0b9oOr2ZgvyQu88wzixux9,77
242,Kenny Chesney,2018-07-27,Get Along,6n6OQfBpCgzF9oEg8zhBN7,73
243,Bad Bunny,2018-12-23,La Romana,1khmgu0pveJbkbpbkyvcQv,79
244,Joyner Lucas,2018-10-17,I Love,30z4LVkScpeNhwHFIB8Ewa,76
245,YNW Melly,2018-08-03,Mama Cry,2fSW54bA6x2iWePU7rpCiP,74
246,Drake,2018-06-29,Mob Ties,7rC5Pl8rQSX4myONQHYPBK,76
247,Maroon 5,2018-06-15,Girls Like You (feat. Cardi B),6V1bu6o1Yo5ZXnsCJU8Ovk,74
248,Bas,2018-08-24,Tribe (with J. Cole),0YAQnYt2oB8OdoaeqnHyTI,76
249,Alec Benjamin,2018-11-16,If We Have Each Other,7pT6WSg4PCt4mr5ZFyUfsF,77
250,Tiësto,2018-05-18,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,81
251,XXXTENTACION,2018-10-25,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,80
252,Ski Mask The Slump God,2018-02-02,Take A Step Back,2gQYziDV5cSTRSqr6akzi5,75
253,6LACK,2018-09-14,Seasons (feat. Khalid),1AROE0XcC4ySCxXF65mutZ,75
254,XXXTENTACION,2018-12-07,whoa (mind in awe),7pdF27mSDuPWhppnHAmWHa,77
255,lovelytheband,2018-08-03,broken,6XcfKZvJio9Z0fQy11GnNX,75
256,Adriel Favela,2018-08-24,La Escuela No Me Gustó,4qArKIA7dnmdushoBlkV94,78
257,Jacquees,2018-09-07,You,01jIO8SJFnpSiNLH1JaBZ5,75
258,Jordan Davis,2018-03-23,Singles You Up,4LiMQ6G9n84rDUBs9wtwz6,73
259,Queen Naija,2018-06-08,Medicine,4lFfMRH0YH4pW5gczTDbNC,73
260,Kacey Musgraves,2018-03-30,Rainbow,79qxwHypONUt3AFq0WPpT9,74
261,Jimmie Allen,2018-10-12,Make Me Want To,0AYbVoeF03NYhM0fvKjAuU,73
262,88GLAM,2018-11-16,Lil Boat,3Zcv9IeYgCvEhxFTfsduaQ,75
263,DaBaby,2018-11-02,21,1AdXchAT6hBUm5d6y4nKjI,73
264,Nipsey Hussle,2018-02-16,Grinding All My Life,3R9j8urSPiBbapNbyuSYkE,74
265,Lil Skies,2018-03-23,Creeping (feat. Rich the Kid),7ms3VzLTfr7fXNOqA4Mkx9,75
266,Post Malone,2018-04-27,Spoil My Night (feat. Swae Lee),5VuxWXbt7XENQCtE9TzpTv,76
267,Bazzi,2018-04-12,Myself,5YLHLxoZsodDWjqSgjhBf3,78
268,Mac Miller,2018-08-03,Ladders,39NDBdU5Xkm5pCFGa5kZtI,76
269,Playboi Carti,2018-05-11,FlatBed Freestyle,5nayhWICkQGMTkisxVMbRw,74
270,Lil Wayne,2018-09-28,Mona Lisa (feat. Kendrick Lamar),0dbTQYW3Ad1FTzIA9t90E8,74
271,Ella Mai,2018-10-12,Shot Clock,2GlATHCDbLW7xq5BE0Bz5g,74
272,Summer Walker,2018-10-19,Girls Need Love,644rGY6maSElnKVsAg1gJj,74
273,Cuco,2018-05-04,Dontmakemefallinlove,6zHyWsqTzT6Fympdy9KQDQ,74
274,Beach Bunny,2018-08-10,Prom Queen,6MpCaSIOfqBqbMED4kXgNY,75
