,artist_name,track_name,track_id,popularity
0,Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,86
1,Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC,81
2,Bryson Tiller,Exchange,43PuMrRfbyyuz4QpZ3oAwN,80
3,Chris Stapleton,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,78
4,White Noise Meditation,Brown Noise - Loopable with No Fade,67iF3DdebmElASIGoebYt1,77
5,Lord Huron,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,76
6,blackbear,Idfc,6y6jbcPG4Yn3Du4moXaenr,81
7,Thomas Rhett,Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,76
8,WILLOW,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,79
9,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,82
10,Mac Miller,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,77
11,Rae Sremmurd,Come Get Her,1Ser4X0TKttOvo8bgdytTP,78
12,Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,84
13,Twenty One Pilots,Ride,2Z8WuEywRWYTKe1NybPQEW,83
14,Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq,79
15,Jeremih,oui,0PJIbOdMs3bd5AT8liULMQ,76
16,Fall Out Boy,Centuries,04aAxqtGp5pv12UXAg4pkq,81
17,Alessia Cara,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,74
18,X Ambassadors,Unsteady,7lGKEWMXVWWTt3X71Bv44I,78
19,BØRNS,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,76
20,Mark Ronson,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,82
21,Mike Stud,These Days,5tsI3xxDHDgzHhn30LTQNz,75
22,$uicideBoy$,Kill Yourself (Part III),5XAPpyIoYF3QXP34Hv8Pvx,78
23,Justin Bieber,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,83
24,Rihanna,FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y,80
25,Fetty Wap,Trap Queen,2d8JP84HNLKhmd6IYOoupQ,75
26,Wiz Khalifa,See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,81
27,Big Sean,I Don't Fuck With You,7FYH5AW3bVfZHJIQpq3UOA,76
28,A$AP Rocky,L$D,4S7YHmlWwfwArgd8LfSPud,76
29,The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,80
30,Billy Currington,Do I Make You Wanna,3I7krC8kr0gFR7P6vInR1I,73
31,Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),2YlZnw2ikdb837oKMKjBkW,80
32,Maroon 5,Sugar,2iuZJX9X9P0GKaE93xcPjk,80
33,Drake,Jumpman,27GmP9AWRs744SzKcpJsTZ,76
