,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0,Travis Scott,2019-10-04,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,99,0.0546,0.598,175721,0.427,5.83e-06,7,0.21,-8.764,0,0.0317,76.469,4,0.0605
1,1,Post Malone,2019-09-06,Circles,21jGcNKet2qwijlDFuPiPb,100,0.192,0.695,215280,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,4,0.553
2,2,Juice WRLD,2019-10-04,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,94,0.0687,0.474,189323,0.631,0.0,5,0.132,-5.884,0,0.343,180.051,4,0.425
3,3,Selena Gomez,2019-10-23,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,98,0.576,0.505,206459,0.34,0.0,4,0.21,-9.005,1,0.0438,101.993,4,0.0916
4,4,YNW Melly,2019-08-09,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,92,0.0389,0.931,176640,0.502,0.0,0,0.0912,-9.311,0,0.353,94.999,4,0.712
5,5,blackbear,2019-08-23,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,96,0.128,0.778,185093,0.559,0.0,6,0.399,-7.109,0,0.0776,129.989,1,0.678
6,6,Lizzo,2019-05-03,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,93,0.11,0.715,173325,0.624,0.0,4,0.123,-3.046,0,0.114,158.087,4,0.412
7,7,Lewis Capaldi,2019-05-17,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,96,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
8,8,Maroon 5,2019-09-20,Memories,2b8fOow8UzyDFAE27YhOZM,99,0.837,0.764,189486,0.32,0.0,11,0.0822,-7.209,1,0.0546,91.019,4,0.575
9,9,Dan + Shay,2019-10-04,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,96,0.153,0.654,167693,0.63,0.0,10,0.111,-4.644,1,0.0259,89.991,4,0.43
10,10,Kanye West,2019-10-25,Follow God,2QpGZOhTCHHiKmpSO9FW4h,93,0.000248,0.529,104591,0.9,1.21e-05,1,0.0426,-3.503,1,0.418,180.291,4,0.434
11,11,NLE Choppa,2019-09-13,Camelot,4sWuPniHClkInYAnzXAYUF,90,0.0849,0.787,148759,0.713,0.0,7,0.717,-5.252,1,0.401,175.041,4,0.762
12,12,Drake,2019-06-15,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,92,0.101,0.831,205427,0.502,0.0,10,0.122,-4.045,0,0.046,100.541,4,0.101
13,13,Young Thug,2019-08-16,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,90,0.063,0.855,193027,0.651,0.0,0,0.0772,-8.044,0,0.235,111.997,4,0.559
14,14,Harry Styles,2019-10-11,Lights Up,2plLJpUcYPFrl1sW2pMG63,95,0.0426,0.585,172227,0.62,0.00224,3,0.15,-8.09,0,0.0327,101.939,4,0.281
15,15,Post Malone,2019-09-06,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,92,0.0906,0.499,229573,0.8,0.0,1,0.147,-2.665,0,0.0502,139.919,4,0.272
16,16,Post Malone,2019-09-06,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,94,0.456,0.548,174853,0.653,0.0,5,0.103,-3.875,1,0.081,150.068,4,0.163
17,17,Lil Tecca,2019-08-30,Ransom,1lOe9qE0vR9zwWQAOk6CoO,93,0.0204,0.745,131240,0.642,0.0,7,0.0658,-6.257,0,0.287,179.974,4,0.226
18,18,DaBaby,2019-09-27,VIBEZ,0fySG6A6qLE8IvDpayb5bM,88,0.113,0.768,144935,0.652,0.0,1,0.107,-2.708,0,0.307,154.187,4,0.777
19,19,Billie Eilish,2019-03-29,bad guy,2Fxmhks0bxGSBdJ92vM42m,96,0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,4,0.562
