,artist_name,release_date,track_name,track_id,popularity
0,Lizzo,2016-03-09,Good As Hell,3Yh9lZcWyKrK9GjbhuS0hR,89
1,Post Malone,2016-12-09,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,85
2,Travis Scott,2016-09-16,goosebumps,6gBFPUFcJLzWGx4lenP6h2,88
3,Post Malone,2016-12-09,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,85
4,James Arthur,2016-10-28,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,86
5,Childish Gambino,2016-12-02,Redbone,0wXuerDYiBnERgIpbb3JBR,82
6,The Chainsmokers,2016-07-29,Closer,7BKLCZ1jbUBVqRi2FVlTVw,86
7,Frank Ocean,2016-08-20,Nights,7eqoqGkKwgOaWNNHx90uEZ,80
8,Post Malone,2016-12-09,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,81
9,Kane Brown,2016-12-02,What Ifs,7zVCrzzEJU7u24sbJPXA5W,77
10,The Weeknd,2016-11-25,Starboy,7MXVkk9YMctZqd1Srtv4MB,84
11,Post Malone,2016-12-09,Go Flex,5yuShbu70mtHXY0yLzCQLQ,81
12,Lil Uzi Vert,2016-05-27,Money Longer,0B8QzDH7YWih85V5SEMnyJ,77
13,Bruno Mars,2016-11-17,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,83
14,Frank Ocean,2016-08-20,Ivy,2ZWlPOoWh0626oTaHrnl2a,78
15,gnash,2016-03-25,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,82
16,Rob $tone,2016-06-17,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp,79
17,Frank Ocean,2016-08-20,Pink + White,3xKsf9qdS1CyvXSMEid6g8,78
18,Russ,2016-11-08,"Psycho, Pt. 2",26OhjtaTamFocE08t83ml6,79
19,Jon Pardi,2016-05-13,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,75
20,Twenty One Pilots,2016-06-16,Heathens,6i0V12jOa3mr6uu4WYhUBr,82
21,Chance the Rapper,2016-05-27,No Problem (feat. Lil Wayne & 2 Chainz),0v9Wz8o0BT8DU38R4ddjeH,77
22,Jon Bellion,2016-06-10,All Time Low,0SuLAslEMFZAXf0SwY7syi,74
23,Lund,2016-10-25,Broken,2BmCen4Ww7ps0EBbobxWsH,78
24,Hippie Sabotage,2016-02-05,Devil Eyes,7MiZjKawmXTsTNePyTfPyL,83
25,EDEN,2016-08-19,sex,26ZX2JrAb8AFbr8FFfAsO7,78
26,Post Malone,2016-12-09,Feeling Whitney,35r28RDot7nPE7y9K9H7l0,77
27,Jon Pardi,2016-05-13,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,74
28,KYLE,2016-12-02,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,78
29,PARTYNEXTDOOR,2016-08-12,Come and See Me (feat. Drake),1wZqJM5FGDEl3FjHDxDyQd,75
30,Justin Timberlake,2016-09-23,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,75
31,Kanye West,2016-06-10,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,76
32,The 1975,2016-02-26,Somebody Else,5hc71nKsUgtwQ3z52KEKQk,75
33,Daniel Caesar,2016-10-21,Japanese Denim,1boXOL0ua7N2iCOUVI1p9F,77
34,Jon Pardi,2016-05-13,Head Over Boots,4ly1QBXEwYoDmje9rmEgC4,74
35,Panic! At The Disco,2016-01-15,Death of a Bachelor,1BECwm5qkaBwlbfo4kpYx8,76
