,artist_name,release_date,track_name,track_id,popularity
0,Travis Scott,2019-10-04,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,99
1,Post Malone,2019-09-06,Circles,21jGcNKet2qwijlDFuPiPb,100
2,Juice WRLD,2019-10-04,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,94
3,Selena Gomez,2019-10-23,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,98
4,YNW Melly,2019-08-09,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,92
5,blackbear,2019-08-23,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,96
6,Lizzo,2019-05-03,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,93
7,Lewis Capaldi,2019-05-17,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,96
8,Maroon 5,2019-09-20,Memories,2b8fOow8UzyDFAE27YhOZM,99
9,Dan + Shay,2019-10-04,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,96
10,Kanye West,2019-10-25,Follow God,2QpGZOhTCHHiKmpSO9FW4h,93
11,NLE Choppa,2019-09-13,Camelot,4sWuPniHClkInYAnzXAYUF,90
12,Drake,2019-06-15,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,92
13,Young Thug,2019-08-16,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,90
14,Harry Styles,2019-10-11,Lights Up,2plLJpUcYPFrl1sW2pMG63,95
15,Post Malone,2019-09-06,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,92
16,Post Malone,2019-09-06,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,94
17,Lil Tecca,2019-08-30,Ransom,1lOe9qE0vR9zwWQAOk6CoO,93
18,DaBaby,2019-09-27,VIBEZ,0fySG6A6qLE8IvDpayb5bM,88
19,Billie Eilish,2019-03-29,bad guy,2Fxmhks0bxGSBdJ92vM42m,96
20,DaBaby,2019-03-01,Suge,2gwkD6igEhQbDQegRCcdoB,88
21,DaBaby,2019-09-27,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,88
22,Arizona Zervas,2019-10-10,ROXANNE,1ZPWWSwCkxKfqdp4H0RFCo,90
23,Post Malone,2019-09-06,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,89
24,Sam Smith,2019-07-19,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,96
25,Post Malone,2019-09-06,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,91
26,Lil Nas X,2019-06-21,Panini,6fTt0CH2t0mdeB2N9XFG5r,91
27,Chris Brown,2019-06-28,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,89
28,Shawn Mendes,2019-06-21,Señorita,0TK2YIli7K1leLovkQiNik,98
29,Young Thug,2019-08-16,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,87
30,Halsey,2019-09-13,Graveyard,6V9fHiv84WlVTg7CSnIVY2,92
31,Y2K,2019-06-28,Lalala,51Fjme0JiitpyXKuyQiCDo,96
32,SHAED,2019-09-26,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,93
33,Mustard,2019-06-28,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,87
34,Polo G,2019-06-07,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,87
35,Selena Gomez,2019-10-24,Look At Her Now,4yI3HpbSFSgFZtJP2kDe5m,92
36,YoungBoy Never Broke Again,2019-10-11,Make No Sense,6klLvorLoo1sxvZcjJIY8I,85
37,Chance the Rapper,2019-07-26,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,86
38,Ed Sheeran,2019-06-28,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,94
39,J. Cole,2019-01-23,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,87
40,Camila Cabello,2019-09-04,Liar,7LzouaWGFCy4tkXDOOnEyM,94
41,Kanye West,2019-10-25,On God,2SasoXZyv82yYgHiVOvxQn,87
42,Post Malone,2019-09-06,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,89
43,Kanye West,2019-10-25,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3,87
44,24kGoldn,2019-01-25,VALENTINO,0c7K73roy6RW4ebDkf4yGh,87
45,Post Malone,2019-09-06,Wow.,7xQAfvXzm3AkraOtGPWIZg,89
46,Lil Tecca,2019-08-30,Did It Again,4guBZjUyrGoHsTahO3IHdj,86
47,Kanye West,2019-10-25,Selah,39JRmdKFka1Oe09FoOCPI4,87
48,Zedd,2019-09-27,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,89
49,Quality Control,2019-07-17,Baby,2nKYHpmwjLaEOXS3o7QMiz,85
50,Lil Nas X,2019-09-13,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,86
51,Tones and I,2019-10-17,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,96
52,Ali Gatie,2019-06-14,It's You,6moU77g9RQyMzHNuKEaQKq,93
53,Kanye West,2019-10-25,Everything We Need,24bnCCysWnbNRNUT4LpHcP,87
54,Ellie Goulding,2019-06-26,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,89
55,Young Thug,2019-11-01,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,85
56,Normani,2019-08-16,Motivation,0rIAC4PXANcKmitJfoqmVm,90
57,Diplo,2019-08-16,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,86
58,Taylor Swift,2019-08-23,Lover,1dGr1c8CrMLDpV6mPbImSI,90
59,Kanye West,2019-10-25,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,86
60,Ariana Grande,2019-08-02,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,90
61,Young Thug,2019-05-23,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,87
62,Bazzi,2019-08-09,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,90
63,Billie Eilish,2019-03-29,when the party's over,43zdsphuZLzwA9k4DJhU0I,90
64,Post Malone,2019-09-06,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2,87
65,Post Malone,2019-09-06,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK,87
66,NLE Choppa,2019-06-20,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,85
67,Megan Thee Stallion,2019-08-09,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,85
68,Lil Tjay,2019-10-11,F.N,0RLLvYBopDwooCyvnTwgYu,83
69,"Tyler, The Creator",2019-05-17,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,85
70,Lil Uzi Vert,2019-04-09,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,84
71,Mustard,2019-06-28,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,85
72,The Chainsmokers,2019-07-24,Takeaway,6wo37KVqFJhtuxPTpLCcfe,92
73,Juice WRLD,2019-03-08,Robbery,6Hj9jySrnFppAI0sEMCZpJ,85
74,Taylor Swift,2019-08-23,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,88
75,Bad Bunny,2019-05-31,Callaita,2TH65lNHgvLxCKXM3apjxI,94
76,Post Malone,2019-09-06,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,88
77,Lil Nas X,2019-06-21,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,93
78,Lizzo,2019-10-25,Good As Hell (feat. Ariana Grande) - Remix,07Oz5StQ7GRoygNLaXs2pd,89
79,Internet Money,2019-10-11,Somebody,735RSTb2xbtWbDtKD9XDYi,85
80,Ed Sheeran,2019-07-12,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,93
81,Marshmello,2019-06-21,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,88
82,Lil Tecca,2019-08-30,Ransom (with Juice WRLD) - Remix,2WsuSYJNXGKXVYkHPnq2yp,85
83,Kanye West,2019-10-25,God Is,6xRWoYwfwIKnT8bQGzKbxR,85
84,DaBaby,2019-09-27,INTRO,77KMttn3Lic7ZQKDlPqp8v,83
