,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0,Lizzo,2016-03-09,Good As Hell,3Yh9lZcWyKrK9GjbhuS0hR,89,0.256,0.682,159736,0.919,0.0,0,0.442,-3.18,0,0.0875,95.982,4,0.535
1,1,Post Malone,2016-12-09,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,85,0.0689,0.556,223347,0.538,0.0,8,0.196,-5.408,0,0.0382,143.95,4,0.291
2,2,Travis Scott,2016-09-16,goosebumps,6gBFPUFcJLzWGx4lenP6h2,88,0.0847,0.841,243837,0.728,0.0,7,0.149,-3.37,1,0.0484,130.049,4,0.43
3,3,Post Malone,2016-12-09,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,85,0.215,0.63,220293,0.804,0.0,6,0.253,-4.183,1,0.0363,123.146,4,0.492
4,4,James Arthur,2016-10-28,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,86,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494
5,5,Childish Gambino,2016-12-02,Redbone,0wXuerDYiBnERgIpbb3JBR,82,0.167,0.743,326933,0.347,0.00951,1,0.103,-11.174,1,0.121,160.143,4,0.572
6,6,The Chainsmokers,2016-07-29,Closer,7BKLCZ1jbUBVqRi2FVlTVw,86,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
7,7,Frank Ocean,2016-08-20,Nights,7eqoqGkKwgOaWNNHx90uEZ,80,0.42,0.466,307151,0.548,1.01e-06,5,0.113,-9.362,0,0.118,89.815,4,0.423
8,8,Post Malone,2016-12-09,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,81,0.233,0.675,256533,0.562,0.0,7,0.0816,-7.678,1,0.0352,130.098,4,0.309
9,9,Kane Brown,2016-12-02,What Ifs,7zVCrzzEJU7u24sbJPXA5W,77,0.00898,0.612,188253,0.799,0.0,10,0.172,-4.603,1,0.0275,125.976,4,0.687
10,10,The Weeknd,2016-11-25,Starboy,7MXVkk9YMctZqd1Srtv4MB,84,0.141,0.678,230453,0.588,6.35e-06,7,0.137,-7.015,1,0.276,186.005,4,0.486
11,11,Post Malone,2016-12-09,Go Flex,5yuShbu70mtHXY0yLzCQLQ,81,0.228,0.665,179613,0.498,0.0,5,0.0757,-8.185,1,0.0831,81.967,4,0.127
12,12,Lil Uzi Vert,2016-05-27,Money Longer,0B8QzDH7YWih85V5SEMnyJ,77,0.0541,0.795,198944,0.568,0.0,5,0.108,-7.817,0,0.142,136.173,4,0.478
13,13,Bruno Mars,2016-11-17,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,83,0.013,0.853,206693,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86
14,14,Frank Ocean,2016-08-20,Ivy,2ZWlPOoWh0626oTaHrnl2a,78,0.782,0.567,249191,0.388,0.000309,9,0.248,-9.579,0,0.0384,116.362,4,0.452
15,15,gnash,2016-03-25,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,82,0.687,0.492,251034,0.275,0.0,6,0.101,-13.4,0,0.3,92.6,4,0.18
16,16,Rob $tone,2016-06-17,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp,79,0.0312,0.886,177184,0.427,0.00099,6,0.0906,-10.028,1,0.145,108.034,4,0.23
17,17,Frank Ocean,2016-08-20,Pink + White,3xKsf9qdS1CyvXSMEid6g8,78,0.67,0.544,184516,0.552,4.57e-05,9,0.415,-7.45,1,0.0991,159.738,3,0.554
18,18,Russ,2016-11-08,"Psycho, Pt. 2",26OhjtaTamFocE08t83ml6,79,0.775,0.766,161985,0.548,5.57e-06,10,0.1,-4.29,1,0.235,82.944,4,0.424
19,19,Jon Pardi,2016-05-13,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,75,0.113,0.628,172253,0.757,0.0,7,0.263,-3.561,1,0.0281,96.016,4,0.727
20,20,Twenty One Pilots,2016-06-16,Heathens,6i0V12jOa3mr6uu4WYhUBr,82,0.0841,0.732,195920,0.396,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548
21,21,Chance the Rapper,2016-05-27,No Problem (feat. Lil Wayne & 2 Chainz),0v9Wz8o0BT8DU38R4ddjeH,77,0.156,0.652,304607,0.795,0.0,11,0.123,-5.192,0,0.174,135.018,4,0.788
22,22,Jon Bellion,2016-06-10,All Time Low,0SuLAslEMFZAXf0SwY7syi,74,0.0508,0.584,217603,0.569,0.0,0,0.0924,-4.259,1,0.166,89.779,4,0.501
23,23,Lund,2016-10-25,Broken,2BmCen4Ww7ps0EBbobxWsH,78,0.0423,0.828,200627,0.581,0.000903,0,0.109,-2.659,1,0.0429,133.999,4,0.145
24,24,Hippie Sabotage,2016-02-05,Devil Eyes,7MiZjKawmXTsTNePyTfPyL,83,0.702,0.391,131272,0.396,0.405,1,0.315,-8.621,0,0.189,99.112,5,0.199
25,25,EDEN,2016-08-19,sex,26ZX2JrAb8AFbr8FFfAsO7,78,0.162,0.413,218808,0.521,0.0,9,0.323,-4.469,1,0.0466,103.391,4,0.532
26,26,Post Malone,2016-12-09,Feeling Whitney,35r28RDot7nPE7y9K9H7l0,77,0.787,0.412,257267,0.227,4.69e-06,0,0.282,-12.696,1,0.0359,80.111,4,0.226
27,27,Jon Pardi,2016-05-13,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,74,0.0617,0.594,205200,0.824,0.0,9,0.0861,-4.252,1,0.0458,116.005,4,0.671
28,28,KYLE,2016-12-02,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,78,0.378,0.746,253107,0.653,0.0,7,0.229,-6.745,1,0.289,75.016,4,0.672
29,29,PARTYNEXTDOOR,2016-08-12,Come and See Me (feat. Drake),1wZqJM5FGDEl3FjHDxDyQd,75,0.0511,0.717,235477,0.347,2.43e-06,11,0.087,-10.265,0,0.0636,84.987,4,0.0589
30,30,Justin Timberlake,2016-09-23,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,75,0.0106,0.669,237547,0.832,0.0,0,0.0968,-5.72,1,0.0682,113.035,4,0.7
