,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7942,Balmorhea,2014-10-14,HEIR I,5rex1EYt4davYPo4igd2eH,39,0.943,0.27,300547,0.195,0.903,9,0.163,-19.065,0,0.0329,78.656,3,0.163
7943,Audiomachine,2014-11-11,Blood and Stone (Ivan Torrent Remix),5x38KMin4OEIyOujI1Ti9g,44,0.00169,0.283,307839,0.508,0.111,2,0.11,-10.063,1,0.0368,170.054,3,0.0376
7944,Orangutang,2014-05-23,After Dark,6vUonx457bLxBi142JEC6q,38,0.242,0.621,283258,0.661,0.623,6,0.511,-7.691,1,0.0432,118.007,4,0.839
7945,Emarosa,2014-09-05,I'll Just Wait,0cm4iI5sK2UdlwIze2Cj7p,38,0.0111,0.609,210973,0.875,0.0942,0,0.103,-7.467,1,0.0347,118.009,4,0.506
7946,Mick Jenkins,2014-08-12,Black Sheep,185l0L1LdwAQ0zgHdA2DgI,39,0.484,0.612,197661,0.719,0.0,6,0.516,-9.565,1,0.418,82.181,4,0.572
7947,Magickeys,2014-11-21,YMCA,1KbxQwpdIOGms2WsZd53B8,35,0.269,0.879,42519,0.466,0.632,6,0.0445,-11.283,1,0.0867,122.98,4,0.897
7948,St. Paul & The Broken Bones,2014-02-18,That Glow,1a7JhXbh2yLfhKr91ryxkI,41,0.677,0.311,183720,0.509,0.172,0,0.185,-6.537,0,0.0387,184.863,3,0.321
7949,Prince,2014-09-26,FUNKNROLL,1gAHPwkHrnO6rYEsjWzd8V,43,0.0695,0.784,248004,0.722,8.05e-06,11,0.421,-4.773,0,0.067,98.685,4,0.431
7950,Mike WiLL Made-It,2014-12-16,Don't Trust,28vfEcDk8O3Scds9m8yHCY,38,0.0708,0.866,202185,0.512,0.0,1,0.147,-8.789,1,0.0684,105.05,4,0.112
7951,Eventide,2014-06-06,Green,2OQfpWSvMuq8hzAfOw0qMa,37,0.0722,0.752,197042,0.567,0.000105,2,0.107,-4.681,0,0.0345,80.008,4,0.304
7952,Andy Williams,2014-11-04,The Christmas Song (Chestnuts Roasting on an Open Fire),2coKdozHhlqL6kaFBvt31W,35,0.915,0.179,152333,0.317,0.0,5,0.135,-10.801,0,0.0337,65.608,3,0.18
7953,Phaserland,2014-11-25,Hot Stunner (feat. Nikki Dodds),2ewREmmQiqyCqe6zUK8DMm,41,0.007,0.614,206000,0.693,0.0214,5,0.338,-7.296,1,0.03,150.031,4,0.605
7954,I Fight Dragons,2014-12-09,Pretend,3MzqPLieWzTj5NW6WEzICu,39,0.000833,0.621,202553,0.705,4.71e-05,9,0.178,-4.615,0,0.0449,95.021,4,0.672
7955,Banda Sinaloense MS de Sergio Lizárraga,2014-06-24,Juré,4DpKOKOm658ssm93yF7s66,44,0.605,0.675,202467,0.592,0.0,0,0.141,-4.548,1,0.0318,124.987,4,0.594
7956,DeJ Loaf,2014-10-24,Easy Love,4dRo42uJy6X9QDsJPUCctk,37,0.481,0.629,175099,0.674,0.0,1,0.388,-7.128,1,0.373,144.922,4,0.399
7957,Jeremy Soule,2014-04-02,"For Blood, for Glory, for Honor",5UBXF0R8923PPNMupjmJUz,42,0.325,0.295,299882,0.515,0.974,0,0.11,-13.372,0,0.0486,149.671,3,0.129
7958,James Tillman,2014-04-29,And Then,5tPyzX0xl1puowUKZWbQaq,43,0.223,0.5,261250,0.388,0.00521,11,0.144,-10.399,0,0.0316,151.874,4,0.513
7959,Raleigh Ritchie,2014-04-14,Stay Inside - The Internet Remix,63lESekLwG2qmA6yqaRVAJ,41,0.107,0.581,164413,0.458,0.0,8,0.0879,-9.142,0,0.234,87.463,4,0.373
7960,Karen O,2014-09-09,Ooo,7J0BfGbfBjr8FXgY7LzZpc,39,0.853,0.425,88686,0.296,0.0,10,0.214,-7.674,1,0.0333,165.755,3,0.201
7961,Jóhann Jóhannsson,2014-11-04,The Stairs,7dxdPa9J9FtZVTrUZFPzYD,37,0.459,0.0628,67877,0.0255,0.907,0,0.196,-27.536,0,0.0365,71.607,3,0.089
7962,Issues,2014-02-14,Personality Cult,7rAHrdEYpynRhmX8JsQeDC,38,0.00173,0.597,232653,0.987,0.000195,10,0.138,-3.085,0,0.152,111.98,4,0.284
7963,Nickel Creek,2014-03-28,21st of May,0hyhmEE6fFefO00bGN1yxD,36,0.573,0.594,167053,0.508,0.000353,3,0.26,-9.962,1,0.0275,114.083,4,0.678
7964,PVRIS,2014-11-04,Let Them In,10Zq7rS6Fr3lKBIj0nnx7l,40,0.0018,0.517,212320,0.856,0.00144,5,0.109,-6.688,0,0.0594,145.978,4,0.564
7965,Kalabrese,2014-04-18,Kafi Lied (feat. Sarah Palin),1IrWZesp3Yjc6buTJ5R0u3,55,0.163,0.871,464453,0.459,0.279,9,0.052,-13.183,0,0.069,114.004,4,0.325
7966,Tinsel Town Kids,2014,Clap Along with Me,1iGK4MjH66x6Xtc7Ey4kVM,40,0.376,0.631,230923,0.447,0.0,8,0.242,-7.044,1,0.042,100.022,4,0.931
7967,Reik,2014-12-09,Inolvidable - Versión Bachata,1vScQmUDBoaM30c4D4U8Fr,43,0.213,0.703,253240,0.6,0.0,7,0.175,-8.163,1,0.0299,135.986,4,0.878
7968,CFCF,2014-09-23,Prisma,22leaCoVe7HHcSwHt7nARM,42,0.907,0.192,260599,0.289,0.979,5,0.104,-17.759,1,0.0355,98.183,4,0.0385
7969,La Zenda Norteña,2014-09-02,Popurri Con Sabor,2bLHBkBWPIdUfI47g8PXgJ,38,0.584,0.768,359210,0.797,1.7e-06,7,0.101,-3.533,1,0.0345,97.008,4,0.888
7970,Montana of 300,2014-12-01,Let That 40 Bang,34CMVVfS99FLr8d5qSWFdg,36,0.0903,0.815,257565,0.848,0.0,9,0.0814,-3.916,1,0.0538,124.94,4,0.642
7971,Starlito,2014-12-15,Meanwhile,3tpjFFz3EpFO0cuYucRq9n,35,0.457,0.748,193751,0.671,0.0,7,0.196,-6.879,1,0.338,109.026,4,0.542
