,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
5745,5973,Granular,2017-10-13,White Noise - Res 125 hz,7BvjvjAza98mv3cBHrboFm,52,0.931,0.111,105617,0.163,0.972,11,0.104,-44.803,0,0.0586,80.745,4,0.069
5746,5974,Los De La Noria,2017-07-28,Tendrás Que Renunciar A Mí - Radio Version,0SD3sYRIZRJufzeC98nPak,52,0.614,0.772,212067,0.535,7.68e-05,9,0.228,-3.903,1,0.0348,145.009,3,0.936
5747,5975,Jeffy,2017-05-11,Why?,1PMZpyFCs95Jhjocd8C0EL,51,0.639,0.776,75743,0.68,0.000136,7,0.166,-14.826,0,0.829,173.968,4,0.51
5748,5976,PSY,2017-05-10,New Face,7JD3gqq0DA5l9xUmVCpJWu,59,0.0079,0.836,190234,0.728,2.94e-05,0,0.0564,-3.449,0,0.0563,131.969,4,0.444
5749,5977,Kane Brown,2017-10-06,Hometown,1EpW7yC74kBsF0f2ORg7Ud,49,0.0597,0.613,204067,0.893,0.0,0,0.0932,-3.918,0,0.058,120.021,4,0.57
5750,5978,Erik Eriksson,2017-01-08,Shower Sound - Loopable with no fade,1ZaAfRnIhr3ALQvdMtyvL0,60,0.119,0.0,62850,0.251,0.913,2,0.384,-25.004,0,0.0,0.0,0,0.0
5751,5979,Brytiago,2017-02-02,Punto G (Remix),2FbFdIycwyngyZ69Nr60cM,60,0.211,0.78,446010,0.586,0.0,9,0.104,-4.569,0,0.14,140.086,4,0.31
5752,5980,Keem the Cipher,2017-04-10,Boundless.,34roUPjKJ82klZAhBK0D0Q,53,0.158,0.632,88686,0.0857,0.881,2,0.0832,-8.442,1,0.111,178.767,4,0.861
5753,5981,Del Water Gap,2017-11-17,High Tops (Stripped),6Ts0o1vDITWHcMGLueLuXJ,50,0.462,0.429,250791,0.435,0.0,7,0.138,-5.073,1,0.0346,117.191,1,0.366
5754,5982,Asking Alexandria,2017-12-15,Hopelessly Hopeful,1jDrYPoiTVcWNybb2kySD0,54,0.0136,0.467,193485,0.961,0.0,0,0.0502,-2.211,0,0.0991,135.105,4,0.373
