,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0,Post Malone,2018-12-14,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,90,0.556,0.76,158040,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
1,1,Travis Scott,2018-08-03,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,89,0.00513,0.834,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,0.446
2,2,Lil Baby,2018-10-05,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,86,0.0852,0.897,145543,0.662,0.0,1,0.534,-6.903,0,0.292,112.511,4,0.389
3,3,Juice WRLD,2018-12-10,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88,0.349,0.511,239836,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218
4,4,YNW Melly,2018-08-03,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,86,0.145,0.759,268434,0.73,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,4,0.74
5,5,A Boogie Wit da Hoodie,2018-12-21,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,87,0.0153,0.581,189487,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,4,0.434
6,6,Meek Mill,2018-11-30,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,86,0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,0.544
7,7,Joji,2018-10-26,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,86,0.544,0.515,209274,0.479,0.00598,3,0.191,-7.458,1,0.0261,88.964,4,0.284
8,8,Billie Eilish,2018-04-19,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,90,0.934,0.351,200186,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,0.12
9,9,Post Malone,2018-04-27,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,89,0.117,0.587,218147,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14
10,10,Marshmello,2018-08-17,Happier,2dpaYNEQHiRxtZbfNsse99,90,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
11,11,Post Malone,2018-04-27,Better Now,7dt6x5M1jzdTEt8oCbisTK,88,0.354,0.68,231267,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,4,0.374
12,12,XXXTENTACION,2018-03-16,SAD!,3ee8Jmje8o58CHK66QrVC2,87,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
13,13,Luke Combs,2018-06-01,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,82,0.676,0.552,193200,0.402,0.0,11,0.0928,-7.431,1,0.0262,103.313,4,0.382
14,14,Halsey,2018-10-04,Without Me,5p7ujcrUXASCNwRaWNHR1C,89,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533
15,15,Lil Mosey,2018-10-19,Noticed,7zLYKWcXnYeHHWidalz7rj,84,0.462,0.699,165000,0.558,0.0,11,0.116,-7.622,1,0.0603,79.992,4,0.493
16,16,Khalid,2018-10-18,Better,6zeeWid2sgw4lap2jV61PZ,83,0.0765,0.596,229320,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,4,0.112
17,17,Juice WRLD,2018-12-10,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,83,0.0769,0.671,165820,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,0.203
18,18,Morgan Wallen,2018-04-27,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,81,0.369,0.614,234347,0.68,1.84e-06,6,0.115,-4.58,1,0.0289,149.959,4,0.707
19,19,XXXTENTACION,2018-03-16,Moonlight,0JP9xo3adEtGSdUEISiszL,87,0.556,0.921,135090,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711
20,20,Lil Baby,2018-05-18,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,82,0.035,0.964,142273,0.346,0.0,5,0.108,-9.309,0,0.53,119.958,4,0.562
21,21,Ski Mask The Slump God,2018-11-30,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,82,0.111,0.935,145627,0.552,0.0,10,0.0952,-9.373,0,0.335,99.993,4,0.615
22,22,21 Savage,2018-12-21,a lot,2t8yVaLvJ0RenpXUIAC52d,83,0.0395,0.837,288624,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,0.274
23,23,Juice WRLD,2018-12-10,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,82,0.186,0.736,169999,0.67,0.0,10,0.114,-6.702,1,0.311,130.032,4,0.845
24,24,Panic! At The Disco,2018-06-22,High Hopes,1rqqCSm0Qe4I9rUvWncaom,87,0.193,0.579,190947,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,4,0.681
25,25,A Boogie Wit da Hoodie,2018-12-21,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,83,0.407,0.791,179449,0.587,0.0,3,0.148,-5.075,0,0.0413,96.057,4,0.536
26,26,Kodak Black,2018-12-14,ZEZE,0FZ4Dmg8jJJAPJnvBIzD9z,84,0.0521,0.861,228760,0.603,0.0,8,0.0924,-5.788,0,0.176,98.043,4,0.504
