,artist_name,track_name,track_id,popularity
0,Lizzo,Good As Hell,3Yh9lZcWyKrK9GjbhuS0hR,89
1,Post Malone,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,85
2,Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2,88
3,Post Malone,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,85
4,James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,86
5,Childish Gambino,Redbone,0wXuerDYiBnERgIpbb3JBR,82
6,The Chainsmokers,Closer,7BKLCZ1jbUBVqRi2FVlTVw,86
7,Frank Ocean,Nights,7eqoqGkKwgOaWNNHx90uEZ,80
8,Post Malone,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,81
9,Kane Brown,What Ifs,7zVCrzzEJU7u24sbJPXA5W,77
10,The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,84
11,Post Malone,Go Flex,5yuShbu70mtHXY0yLzCQLQ,81
12,Lil Uzi Vert,Money Longer,0B8QzDH7YWih85V5SEMnyJ,77
13,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,83
14,Frank Ocean,Ivy,2ZWlPOoWh0626oTaHrnl2a,78
15,gnash,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,82
16,Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp,79
17,Frank Ocean,Pink + White,3xKsf9qdS1CyvXSMEid6g8,78
18,Russ,"Psycho, Pt. 2",26OhjtaTamFocE08t83ml6,79
19,Jon Pardi,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,75
20,Twenty One Pilots,Heathens,6i0V12jOa3mr6uu4WYhUBr,82
21,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),0v9Wz8o0BT8DU38R4ddjeH,77
22,Jon Bellion,All Time Low,0SuLAslEMFZAXf0SwY7syi,74
23,Lund,Broken,2BmCen4Ww7ps0EBbobxWsH,78
24,Hippie Sabotage,Devil Eyes,7MiZjKawmXTsTNePyTfPyL,83
25,EDEN,sex,26ZX2JrAb8AFbr8FFfAsO7,78
26,Post Malone,Feeling Whitney,35r28RDot7nPE7y9K9H7l0,77
27,Jon Pardi,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,74
28,KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,78
29,PARTYNEXTDOOR,Come and See Me (feat. Drake),1wZqJM5FGDEl3FjHDxDyQd,75
30,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,75
31,Kanye West,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,76
32,The 1975,Somebody Else,5hc71nKsUgtwQ3z52KEKQk,75
33,Daniel Caesar,Japanese Denim,1boXOL0ua7N2iCOUVI1p9F,77
34,Jon Pardi,Head Over Boots,4ly1QBXEwYoDmje9rmEgC4,74
35,Panic! At The Disco,Death of a Bachelor,1BECwm5qkaBwlbfo4kpYx8,76
36,Rihanna,Needed Me,4pAl7FkDMNBsjykPXo91B3,79
37,Lil Uzi Vert,Erase Your Social,4uhvMW7ly7tJil31YYscAN,74
38,Hailee Steinfeld,Starving,4Ce37cRWvM1vIGGynKcs22,79
39,Frank Ocean,Self Control,5GUYJTQap5F3RDQiCOJhrS,76
40,Future,Low Life,7EiZI6JVHllARrX9PUvAdX,76
41,Lil Uzi Vert,You Was Right,2ANLarE8yHVsLWW21nj79M,74
42,Rex Orange County,Corduroy Dreams,02tvc9CFnTyHuSRlGeNv9w,76
43,Lukas Graham,7 Years,5kqIPrATaCc2LqxVWzQGbk,80
44,Billie Eilish,Six Feet Under,2VlLbhGLVJgdOW7kKdWWFc,79
45,A Boogie Wit da Hoodie,Still Think About You,2FTeQQ5Rg9tBpgpTF5mnhE,73
46,Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P,79
47,Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0,82
48,6LACK,PRBLMS,4AtZRwSR8BOTTQg5ihSggt,75
49,Rachel Platten,Fight Song,37f4ITSlgPX81ad2EvmVQr,80
50,21 Savage,X (feat. Future),6fwdbPMwP1zVStm8FybmkO,75
51,Olivia O'Brien,hate u love u,6ATgDc6e4sPn84hvJsAmPt,80
52,Ella Mai,She Don't (feat. Ty Dolla $Ign),01JPQ87UHeGysPVwTqMJHK,75
53,Cuco,Lover Is a Day,76tGvMdmFKuiMew33ZNNA9,75
54,MAX,Lights Down Low,5A6BJLZArq1MPjsnmcuk5f,71
55,A Boogie Wit da Hoodie,Jungle,5uZm7EFtP5aoTJvx5gv9Xf,73
56,Auli'i Cravalho,How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd,75
57,James Arthur,Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,80
58,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,81
59,Kanye West,Waves,3nAq2hCr1oWsIU54tS98pL,75
60,Rae Sremmurd,Black Beatles,6fujklziTHa8uoM5OQSfIo,77
61,Rihanna,Love On The Brain,5oO3drDxtziYU2H1X23ZIp,82
62,The Weeknd,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,76
63,Ariana Grande,Into You,2meEiZKWkiN28gITzFwQo5,80
