,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0,Tame Impala,2015-07-17,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,86,0.0115,0.64,216320,0.74,0.00678,4,0.167,-4.083,1,0.0284,116.879,4,0.785
1,1,Bryson Tiller,2015-10-02,Don't,3pXF1nA74528Edde4of9CC,81,0.222,0.765,198293,0.356,0.0,11,0.0963,-5.556,0,0.196,97.001,4,0.19
2,2,Bryson Tiller,2015-10-02,Exchange,43PuMrRfbyyuz4QpZ3oAwN,80,0.108,0.53,194613,0.433,0.0,6,0.135,-10.598,1,0.185,160.14,4,0.274
3,3,Chris Stapleton,2015-05-04,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,78,0.205,0.392,293293,0.37,0.0096,9,0.0821,-10.888,1,0.0298,48.718,4,0.512
4,4,White Noise Meditation,2015-05-26,Brown Noise - Loopable with No Fade,67iF3DdebmElASIGoebYt1,77,0.0,0.0,73887,2.01e-05,0.0,5,0.0,-15.776,1,0.0,0.0,0,0.0
5,5,Lord Huron,2015-04-07,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,76,0.968,0.441,208227,0.379,0.262,2,0.639,-9.545,1,0.0449,174.118,3,0.105
6,6,blackbear,2015-02-14,Idfc,6y6jbcPG4Yn3Du4moXaenr,81,0.611,0.63,245172,0.5,4.04e-05,1,0.114,-8.755,0,0.0611,144.871,4,0.315
7,7,Thomas Rhett,2015-01-01,Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,76,0.381,0.66,227427,0.383,0.0,2,0.119,-9.377,1,0.0304,83.096,4,0.381
8,8,WILLOW,2015-01-11,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,79,0.0294,0.757,196520,0.707,2.55e-05,3,0.0969,-5.53,0,0.0279,100.982,4,0.638
9,9,The Weeknd,2015-08-28,The Hills,7fBv7CLKzipRk6EC6TWHOB,82,0.0671,0.58,242253,0.565,0.0,0,0.135,-7.065,0,0.0488,112.986,4,0.138
10,10,Mac Miller,2015-09-18,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,77,0.47,0.843,208080,0.435,0.0,8,0.147,-8.442,1,0.178,120.058,4,0.19
11,11,Rae Sremmurd,2015-01-06,Come Get Her,1Ser4X0TKttOvo8bgdytTP,78,0.184,0.687,212947,0.563,0.0,2,0.0681,-6.214,1,0.163,185.056,4,0.112
12,12,Twenty One Pilots,2015-05-15,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,84,0.0462,0.734,202333,0.637,2.29e-05,4,0.0602,-5.677,0,0.141,169.977,4,0.648
13,13,Twenty One Pilots,2015-05-15,Ride,2Z8WuEywRWYTKe1NybPQEW,83,0.00835,0.645,214507,0.713,0.0,6,0.113,-5.355,1,0.0393,74.989,4,0.566
