,artist_name,track_name,track_id,popularity
0,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,90
1,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,89
2,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,86
3,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
4,YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,86
5,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,87
6,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,86
7,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,86
8,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,90
9,Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,89
10,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,90
11,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,88
12,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,87
13,Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,82
14,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,89
15,Lil Mosey,Noticed,7zLYKWcXnYeHHWidalz7rj,84
16,Khalid,Better,6zeeWid2sgw4lap2jV61PZ,83
17,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,83
18,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,81
19,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,87
20,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,82
21,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,82
22,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,83
23,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,82
