,artist_name,track_name,track_id,popularity
0,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,87
1,Granular,White Noise - 500 hz,65rkHetZXO6DQmBh3C2YtW,84
2,XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,85
3,Lil Uzi Vert,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,85
4,Offset,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,83
5,Frank Ocean,Chanel,6Nle9hKrkL1wQpwNfEkxjh,82
6,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,84
7,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,85
8,Billie Eilish,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,85
9,Granular,White Noise - 145 hz,6H4B9gJD6eQlNoEh8q85pP,82
10,Khalid,Location,152lZdxL1OR0ZMW6KquMif,83
11,Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,82
12,Luke Combs,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,79
13,Rex Orange County,Best Friend,47Bg6IrMed1GPbxRgwH2aC,82
14,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,89
15,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,83
16,NF,Let You Down,52okn5MNA47tk87PeZJLEL,84
17,Lee Brice,Rumor,56eGOeSsqdg3FLxdo83TwV,78
18,Kane Brown,Heaven,1HXy5I3HTWq8OvxCn0z7G7,79
19,Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,79
20,Lil Uzi Vert,20 Min,0uxSUdBrJy9Un0EYoBowng,79
21,Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB,87
22,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,79
23,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,88
24,Sam Hunt,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,79
25,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,79
26,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,82
27,"Tyler, The Creator",See You Again,7KA4W4McWYRpgf0fWsJZWB,80
28,Russell Dickerson,Every Little Thing,4EpLU30bi1KNWkBTfgZkoK,78
29,Rex Orange County,Loving Is Easy,5EYi2rH4LYs6M21ZLOyQTx,81
30,Rex Orange County,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ,81
31,Lil Skies,Lust,7oJrVhiTPZGBXWPwhxjy9S,80
32,Logic,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,82
33,Lauv,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,85
34,Billie Eilish,ocean eyes,7hDVYcQq6MxkdJGweuCtl9,84
35,Erik Eriksson,Clean White Noise - Loopable with no fade,2bRKxuH1o7pTmb1y4GfdEc,84
36,Sam Smith,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,79
37,Kendrick Lamar,DNA.,6HZILIRieu8S0iqY8kIKhj,81
38,21 Savage,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,81
39,blackbear,do re mi,3Q3myFA7q4Op95DOpHplaY,80
40,Chase Rice,Eyes On You,5AnSllIrgGsCZzZJkVnApx,77
41,Russ,Losin Control,4cxMGhkinTocPSVVKWIw0d,79
42,Jack Stauber,Buttercup,2mlGPkAx4kwF8Df0GlScsC,83
43,Khalid,8TEEN,5bgwqaRSS3M8WHWruHgSL5,80
44,NF,Lie,07FkzikE6FuHIa8Ma7zJGc,80
45,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,82
46,Luke Combs,One Number Away,4gB7HrYHbJVJ5RFOjxmoq4,77
47,Miguel,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,78
48,Demi Lovato,Sorry Not Sorry,7gvd8xj4QgPqbQSsn5pV7d,82
49,French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,83
50,SZA,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,78
51,NF,If You Want Love,3i5qVV8azKqGFK4Gzdt5YS,80
52,Loud Luxury,Body,21RzyxY3EFaxVy6K4RqaU9,80
53,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg,78
54,Peachy!,Falling for U,0sHFw13WH3LtSB3yP8UMYJ,79
55,YNW Melly,772 Love,230wNo1dnexltKYQbsW7oD,76
