,artist_name,track_name,track_id,popularity
72,The Chainsmokers,Takeaway,6wo37KVqFJhtuxPTpLCcfe,92
73,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,85
74,Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,88
75,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,94
76,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,88
77,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,93
78,Lizzo,Good As Hell (feat. Ariana Grande) - Remix,07Oz5StQ7GRoygNLaXs2pd,89
79,Internet Money,Somebody,735RSTb2xbtWbDtKD9XDYi,85
80,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,93
81,Marshmello,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,88
82,Lil Tecca,Ransom (with Juice WRLD) - Remix,2WsuSYJNXGKXVYkHPnq2yp,85
83,Kanye West,God Is,6xRWoYwfwIKnT8bQGzKbxR,85
84,DaBaby,INTRO,77KMttn3Lic7ZQKDlPqp8v,83
85,Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,95
86,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,90
87,Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,92
88,J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,93
89,Saweetie,My Type,5KBARWIxeMGkvUax9VtVC9,84
90,Megan Thee Stallion,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,82
91,Niall Horan,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,89
92,Mustard,Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,85
93,Tones and I,Dance Monkey,5ZULALImTm80tzUbYQYM9d,97
94,Kanye West,Water,454Epa1vrCGFddHXKyC1kb,85
95,21 Savage,Immortal,4IO8X9W69dIQe0EC5ALXhq,83
96,Kanye West,Every Hour,1WnqWQcWcuQbVzgE7ecfCY,85
97,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,85
98,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,96
99,YoungBoy Never Broke Again,Self Control,4vSoyDfL0uZyUoWu5NNNsQ,81
100,Gunna,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,82
101,Lil Tecca,Love Me,4e0FYxSROat25pH16zMTZI,85
102,Camila Cabello,Easy,46D0hYb1B7qiU33VtXt21W,87
103,Khalid,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,85
104,Post Malone,A Thousand Bad Times,2J0NXdHr6MYvKDSxB7k3V2,85
105,Diplo,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,88
106,Lauv,Feelings,0y675KDleCZEudjoeL1sQQ,88
107,Kanye West,Hands On,7r6aR2f57resC5r93LwMfK,84
108,Lewis Capaldi,Bruises,4Of7rzpRpV1mWRbhp5rAqG,88
109,Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,88
110,Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,93
111,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),2FvD20Z8aoWIePi7PoN8sG,81
112,DaBaby,RAW SHIT (feat. Migos),1CCDIow4pPYyJYzhtTUYz2,82
113,DaBaby,Goin Baby,3WyRgi8CzQnhzO0xw79tTS,82
114,Bazzi,Paradise,0Rx0DJI556Ix5gBny6EWmn,85
115,DaBaby,Baby Sitter (feat. Offset),7f1zjZG77S891Uv4O68yfk,82
116,Billie Eilish,bury a friend,4SSnFejRGlZikf02HLewEF,87
117,Lauv,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,90
118,Summer Walker,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,83
119,Lil Skies,I,4ZT9FnbFu1PaBfV3itxiqT,82
120,French Montana,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,87
121,Drake,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,84
122,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,89
123,BTS,Make It Right (feat. Lauv),314ZkcV7oLWG8yWE7LABvH,89
124,NAV,Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,82
125,Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc,86
126,Kygo,Higher Love,6oJ6le65B3SEqPwMRNXWjY,91
127,Major Lazer,Trigger,0Z26mbSHJ1dkUu7g9DDgif,87
128,Roddy Ricch,Start Wit Me (feat. Gunna),5ravc2aiNoYmu9m37diYXW,81
129,Luke Combs,Beer Never Broke My Heart,7nfmK6oHPDlAd68A11d7AN,81
130,Post Malone,I'm Gonna Be,1ckLp8lCl8LipXI0ypX72m,83
131,Quality Control,Baby (Lil Baby feat. DaBaby),5MPPttjfGap2C6j6eKcO6J,81
